word,pos,sentence
accompany,verb,Miss Jessop accompanied Mr Bentley on the piano.
accompany,verb,Students cannot leave the building during class hours unless they are accompanied by an adult.
account,noun,I withdrew my money and asked the bank to close my account. 
account,noun,She gave a thrilling account of her life in the jungle.
account,noun,"By all accounts, San Francisco is a city that's easy to fall in love with."
account,noun,"By his own account, he's quite wealthy."
account,noun,He doesn't drink alcohol on account of his poor health.
account,noun,"Could you put it on/charge it to my account (= can I pay for it later), please?"
account,noun,"If the advertising agency loses this account, it will make a big dent in their profits."
account,noun,I decided to delete my account.
account,noun,It's of no account to me whether he comes or not.
account,verb,She was accounted a genius by all who knew her work.
account,noun,When she starts school we're opening an account in her name and we'll put money into it each year.
account,noun,If you open an account with the store you save 10%.
account,noun,An account of travel expenses incurred by an employee must be submitted for reimbursement together with receipts.
account,noun,The company has won a batch of high-profile advertising accounts
account,noun,"Some people have a specific service in mind, whether it's an account with free Web space or the ability to develop an electronic commerce site online."
account,noun,"$25,000 in inventory was purchased on account from suppliers in July."
account,noun,"Part is paid on account, and the rest is paid at the end of the period."
accurate,adjective,an accurate machine
accurate,adjective,Internet communication instantly provides timely and accurate data for evaluating investment opportunities.
accuse,verb,"""It wasn't my fault."" ""Don't worry, I'm not accusing you."""
accuse,verb,The government stands accused of eroding freedom of speech.
accuse,verb,He was accused of failing to pay his taxes.
accuse,verb,"He denied the accusation, saying he was innocent."
accuse,verb,He is accused of misleading investors and lenders about the financial health of the company.
achieve,verb,"The government's training policy, he claimed, was achieving its objectives."
achieve,verb,She achieved her objective of qualifying for the US Olympic team.
achieve,verb,Increasing sales by 5 percent is an achievable goal.
achieve,verb,Salespersons strived to achieve maximum sales.
achievement,noun,It gives you a sense of achievement if you actually make it to the end of a very long book.
achievement,noun,a scientific achievement
achievement,noun,Look at your achievements and your value in monetary terms.
achievement,noun,The company's name is synonymous with outstanding achievement.
acknowledge,verb,Historians generally acknowledge her as a genius in her field.
acknowledge,verb,They didn't acknowledge my letter.
acknowledge,verb,He didn't even acknowledge my presence.
acknowledge,verb,The president acknowledged his mistake in not vetoing the tax bill.
acknowledge,verb,Please acknowledge receipt of this letter. 
acquire,verb,From humble beginnings he went on to acquire great wealth. 
acquire,verb,He acquired the firm in 2008.
acquire,verb,"He acquired Winnie the Pooh merchandising rights from A. A. Milne, the author of the children's stories."
acquire,verb,We want to understand more about how children acquire language.
acquire,verb,They develop gene therapy products for the treatment of acquired and inherited diseases.
acquire,verb,His family acquired the property in 1985.
acquire,verb,They acquired a chain of about 20 phone shops.
acquire,verb,The broadcaster did not disclose exactly how it acquired rights to the material.
acquire,verb,We've acquired a million new customers in a year.
acquire,verb,Aptitude tests attempt to judge a person's ability to acquire new skills.
across,adverb,She walked across the field/road.
across,preposition,The library is just across the road.
across,preposition,Voting took place peacefully across most of the country.
across,preposition,We walked across the bridge.
act,verb,Don't be so silly - you're acting like a child!
act,verb,Engineers acted quickly to repair the damaged pipes.
act,verb,The anaesthetic acted quickly.
act,verb,Ellis Pike was chosen to act the part of the lawyer in the film.
act,verb,Why are you always acting the fool?
act,noun,an act of aggression/bravery/madness/terrorism
act,noun,Was she really upset or was that just an act?
act,noun,a comedy/juggling/trapeze act
act,noun,Shakespeare's plays were written in five acts.
act,noun,an Act of Parliament
act,verb,The president acted quickly to bring federal aid to areas damaged by flooding.
act,verb,He acts the part of a small-town lawyer.
act,noun,an act of Congress
act,noun,a circus act
act,noun,The play is presented in three acts.
act,noun,A partner may be held responsible for the acts of his co-partners committed in the name of the firm.
act,noun,"The 2010 act, with its requirement for a review of financial controls, has helped drive up the cost of corporate audits by as much as 50%."
act,noun,"The company could lose momentum without its chief executive, who will be a hard act to follow. "
act,noun,"There's always a debate in the machine room about the product, long before the marketing men and editors get in on the act."
act,noun,Mr Dinsdale said it was crucial that the Department of Trade & Industry got its act together.
act,verb,Engineers will need to act quickly to repair the damaged pipes.
act,verb,"Although errors of judgement were made, at all times the company's staff acted in good faith."
action,noun,This problem calls for swift/prompt action from the government.
action,noun,She has to accept the consequences of her actions.
action,noun,I'll say the words and you can mime the actions.
action,noun,I like movies with a lot of action.
action,noun,"His filmmaking style blends action, horror, and comedy. "
action,noun,A journalist has to be where the action is.
action,noun,They recorded the action of the drug on the nervous system.
action,noun,He saw action in the trenches.
action,noun,He was reported missing in action.
action,noun,We studied the action of the digestive system.
action,noun,She brought an action (for negligence) against the hospital.
action,verb,"I'll just run through the minutes of the last meeting, raising those points that still have to be actioned."
action,noun,Quick action in calling the fire department saved many lives.
action,noun,Her younger son was killed in action.
action,noun,The heart’s action in regulating blood flow is critically important.
action,noun,She brought an action against the hospital for negligence.
action,noun,The report urged industrialised nations to take further action to cut their budget deficits.
action,noun,Industry analysts said the company's actions cannot control market prices.
action,noun,Fund managers let themselves be carried away by the favorable market action of the shares.
action,noun,He threatened legal action to recover the property.
action,noun,"We need to put these plans into action in measurable ways, so that employees regain a sense of control over their lives."
action,noun,The Board will devise an action plan to address the problems at the plant.
action,noun,It's one thing to be a staff attorney and quite another to be an equity partner getting a piece of the action.
action,verb,Some of the conclusions and recommendations of the report can be actioned straight away.
active,adjective,"He is 90 years old, but remains active in the local community."
active,adjective,She's very active in (= involved in) local politics.
active,adjective,"""Catrin told me"" is an active sentence, and ""I was told by Catrin"" is passive."
active,adjective,He was still an active runner at 55.
active,adjective,"In ""Alex gave me a gift,"" the verb ""give"" is active, and in ""I was given a gift by Alex,"" ""give"" is passive."
active,adjective,He isn’t actively involved in the day-to-day management of the business anymore.
active,adjective,He expects to remain active in commodity trading in London.
active,adjective,He has been an active member of the Executive Committee since 2004.
active,adjective,Trading was most active in five-year maturities.
active,adjective,Whitbread was especially active but several other brewers were also buying at the rate of 20 or 30 a year.
active,adjective,"The company has more than one million active cardholders, with about 44% of all group sales being made through the card."
active,adjective,"Click the associated tab in a bar running across the screen, and the selected page opens in the active window."
activity,noun,Economists are concerned by the low level of economic activity.
activity,noun,He was found guilty of terrorist activity.
activity,noun,"His spare-time activities include cooking, tennis, and windsurfing."
activity,noun,There were lots of activities for children at the museum.
activity,noun,Any conflict has the potential to disrupt business activity.
activity,noun,The company's activities stretch from Australia to the US.
actor,noun,"""Who's your favourite actor?"" ""Robert de Niro."""
actor,noun,International law recognizes that a state can engage in armed conflict against a non-state actor.
actor,noun,The play has a cast of six actors.
actress,noun,She's the highest-paid actress in Hollywood.
actual,adjective,"We had estimated about 300 visitors, but the actual number was much higher."
actual,adjective,"I thought she was Portuguese, but in actual fact she's Brazilian."
actual,adjective,"We expected 50 people, but the actual number was a lot higher."
actual,adjective,Residents are paying electricity prices that are double the actual cost of generating electricity.
actual,adjective,"He's had a lot of interviews, but never had an actual job."
actual,adjective,The actual stores offer local convenience while the virtual stores offer variety for shoppers.
actual,noun,We continuously compare budgeted amounts with actuals.
actual,noun,Transactions can be trade in actuals or by means of futures contracts.
actually,adverb,I didn't actually see her - I just heard her voice.
actually,adverb,"I didn't like him at first, but in the end I actually got quite fond of him."
actually,adverb,"""Alexander looks like he'd be good at sports."" ""Actually, he's not."""
actually,adverb,We actually had a hard time moving the sofa.
actually,adverb,He actually expected me to pay for his dinner.
ad,noun,I often prefer the ads on TV to the actual programmes.
ad,adverb,in 1215 AD/AD 1215
ad,noun,He appeared in an ad for fizzy drinks.
ad,adjective,Who created the concept for the ad campaign?
adapt,verb,Davies is busy adapting Brinkworth's latest novel for television.
adapt,verb,The good thing about children is that they adapt very easily to new environments.
adapt,verb,Species have adapted to climate changes throughout history.
adapt,verb,To remain competitive the company has to be able to adapt to the changing marketplace. 
adapt,verb,Sometimes you have to adapt the design to suit the customer's requirements.
adapt,verb,This adapted procedure was problematic in many ways.
add,verb,It's $45 - $50 if you add in the cost of postage.
add,verb,She's added a Picasso to her collection.
add,verb,"She was sad, she said, but added (= said also) that she felt she had made the right decision."
add,noun,"A person with ADHD, previously known as ADD (attention-deficit disorder), has trouble focusing on activities, organizing and finishing tasks, and following instructions."
add,verb,"Beat the butter and sugar together, and then add the eggs."
add,verb,If you add three and four you get seven.
add,verb,He had the added disadvantage of being the only man present.
add,verb,Investors can add more money to the fund at any time.
add,verb,You have to add the cost of postage to the subtotal. 
add,verb,Today its shares added 7p to 460p.
addition,noun,Twice a week the children are tested in basic mathematical skills such as addition (= calculating the total of different numbers put together) and subtraction.
addition,noun,"In addition to his apartment in Manhattan, he has a villa in Italy and a castle in Scotland."
addition,noun,He admits tofu is a useful addition to the range of meat alternatives available.
addition,noun,We have had several new additions to the family recently.
addition,noun,Most working environments are improved by the addition of (= by adding) a few plants and pictures.
addition,noun,We're building an addition to our house.
addition,noun,We learn addition and subtraction in first and second grade.
addition,noun,Harold is the newest addition to our staff.
addition,noun,The company provides a compensation package which amounts to an addition to the employee's salary.
addition,noun,The addition of women to the board was a deliberate diversity strategy.
addition,noun,The commissioners plan to build an addition on the front of the building.
addition,noun,"In addition to movies, the company also published magazines."
additional,adjective,additional costs/problems
additional,adjective,There’s no additional charge for children under twelve.
additional,adjective,We plan to open an additional 10 to 12 stores next year.
additional,adjective,"Would the project have been implemented, even without the sales of the carbon offsets? If the answer is yes, the project is not “additional.” "
address,noun,her business/home address
address,noun,Police searched an address in North London in connection with a drugs arrest.
address,noun,What's your email address?
address,noun,She gave an address to the Royal Academy.
address,verb,He addressed a few introductory remarks to the audience.
address,verb,The issue of funding has yet to be addressed.
address,verb,Put the cheque in an envelope and address it to John Smith. 
address,verb,Try to make sure that you are well balanced when you address the ball.
address,noun,What is your street address now?
address,noun,My e-mail address is pjh17@cambridge.org.
address,noun,The graduation address was very dull.
address,verb,The First Lady addressed the meeting briefly.
address,verb,We’ll address that question at the next meeting.
address,verb,I addressed envelopes all morning.
address,noun,Please send your application to the address below.
address,noun,I sent the email to the wrong address.
address,noun,How much web information could be captured: just the overall address or a list of each document viewed?
address,noun,"'I can only see continued growth ahead of us,' the Chairman said in an address to analysts and money managers."
address,verb,Make sure that your package is addressed to the correct department.
address,verb,He addressed a group of forty industrialists and politicians.
address,verb,She addressed him as Mr Clifford.
address,verb,It is time to address the budget deficit.
administration,noun,Teachers complain that more of their time is taken up with administration than with teaching.
administration,noun,The decision to cancel the trip was made by the school administration.
administration,noun,the Obama administration/the last Republican administration
administration,noun,There are strict controls on the administration of drugs.
administration,noun,"The company has gone into administration, in order for money to be returned to creditors."
administration,noun,He’s studying business administration.
administration,noun,The Clinton administration has been full of surprises.
administration,noun,You will do mainly administrative work.
administration,noun,Matthews said charges against him should be handled administratively.
administration,noun,She works as a school administrator.
administration,noun,Administration of the scheme is costly in terms of time.
administration,noun,"Some foreign postal administrations, including Britain's and France's, have embraced the concept."
administration,noun,It seems like there's an effort to centralize authority in Washington more than there has been in prior administrations.
administration,noun,"The company has gone into administration, which was required if any money was to be returned to creditors."
admire,verb,"We stood for a few moments, admiring the view."
admire,verb,I admired him for his determination.
admire,verb,I admire that music more than any other.
admire,verb,The police did an admirable job of calming down the crowd.
admire,verb,I think she coped admirably with a very difficult situation.
admire,verb,My admiration for her grows daily.
admire,verb,Many admirers waited in the rain just to see their hero.
admit,verb,He admitted his guilt/mistake.
admit,verb,"After several attempts to untie the knot, I admitted defeat and cut through it with a knife."
admit,verb,Each ticket admits one member and one guest.
admit,verb,Spain was admitted to the European Community in 1986.
admit,verb,She was admitted to hospital suffering from shock.
admit,verb,He admitted his guilt.
admit,verb,Each ticket admits one member and a guest.
admit,verb,He was refused admittance to the club.
admit,verb,"""We need to do more to attract the younger end of the market,"" the Chairman admitted."
admit,verb,"As part of the agreement, the chairman and his affiliates do not admit any liability or wrongdoing."
admit,verb,"Over the next five years, several new countries will be admitted to the EU."
admit,verb,Newspaper reporters will not be admitted to the hearing.
admit,verb,Prosecutors asked the court to admit the recordings as evidence.
adopt,verb,They've adopted a baby girl.
adopt,verb,Only about 20 percent of all dogs and cats that come into the rescue centre will be adopted.
adopt,verb,I think it's time to adopt a different strategy in my dealings with him.
adopt,verb,Dr Kennedy has been adopted as the party's candidate for South Cambridge.
adopt,verb,Roz has adopted one or two funny mannerisms since she's been away.
adopt,verb,"For just $25, you can adopt a word for an entire year."
adopt,verb,The council said the road was never adopted and so it is not obliged to repair it.
adopt,verb,They adopted Raphael last September.
adopt,verb,The new law means companies will adopt energy-saving measures.
adopt,verb,The motion to increase fees was adopted.
adopt,verb,Many European businesses are now adopting a management style closer to that of the US.
adopt,verb,Large firms lead small firms in terms of adopting e-commerce.
adult,noun,An adult under English law is someone over 18 years old.
adult,adjective,an adult male/elephant
adult,adjective,Let's try to be adult about this.
adult,adjective,More than half of adult Americans are considered overweight.
adult,adjective,"It’s a kids’ show, but they sneak in some adult humor."
adult,adjective,We invited only adults to the wedding.
adult,adjective,"When she reached adulthood, she moved away."
advance,verb,The fire advanced steadily through the forest.
advance,verb,Could you advance me £500 until Tuesday?
advance,verb,the theory advanced in this article
advance,verb,"On the New York Stock Exchange, 1,228 issues advanced and 1,157 declined."
advance,noun,Recent advances in medical science mean that this illness can now be cured.
advance,noun,She asked for a £300 advance on her salary.
advance,noun,She claimed that he made sexual advances towards her.
advance,noun,Declining stocks easily defeated advances 413 to 302.
advance,adjective,We got no advance notice of the changes.
advance,verb,Research has advanced our understanding of the virus.
advance,verb,They did nothing for the advancement of women.
advance,adjective,We got no advance warning of the changes.
advance,noun,Most authors get an advance on royalties they’ll earn later.
advance,noun,Technological advances have changed TV news.
advance,noun,Doctors believe that the findings represent a major advance in treating heart disease.
advance,noun,Loans and advances usually represent the single largest asset of most banks.
advance,noun,Declining stocks easily defeated advances 413 to 302.
advance,noun,Ticket prices are cheaper if bought in advance.
advance,verb,Biotechnology continues to advance at a rapid pace.
advance,verb,"On the New York Stock Exchange 1,128 issues advanced and 1,057 declined ."
advance,verb,"Overall, consumer prices are advancing at a modest rate."
advance,verb,Measures advanced by the General Assembly included reducing vehicle carbon-dioxide emissions.
advance,verb,"Two weeks ago I hired him, and advanced him $10,000."
advance,verb,No plans were made to advance the board meeting.
advance,adjective,Critics argue that advance planning would have little impact on final policy decisions.
advanced,adjective,This is the most advanced type of engine available.
advanced,adjective,an advanced English course
advanced,adjective,His mother was playing major concerts in the advanced stages of her pregnancy.
advanced,adjective,Vaccines are being tested as a treatment for advanced cancer.
advanced,adjective,She enrolled her son in the advanced class.
advanced,adjective,"He was over sixty years old when he died, a relatively advanced age for his time."
advanced,adjective,The advanced age of the mother raises the risk of birth defects in the baby.
advanced,adjective,Are you taking any advanced courses?
advanced,adjective,An advanced search engine allows you to add additional criteria to your query.
advanced,adjective,Talks are understood to be at an advanced stage.
advanced,adjective,Twenty thousand visas have been allocated for immigrants who earn advanced academic degrees.
advantage,noun,The advantage of booking tickets in advance is that you get better seats.
advantage,noun,I thought I'd take advantage of the sports facilities while I'm here.
advantage,noun,I think she takes advantage of his good nature.
advantage,noun,Advantage Miss Williams!
advantage,noun,The ref should have played advantage because Rooney would have been through on goal.
advantage,verb,Affluent parents seek to advantage their children by sending them to more exclusive schools.
advantage,noun,His long arms give him a big advantage over other boxers.
advantage,noun,The agreement is advantageous to both sides.
advantage,noun,Smaller businesses often have an advantage in the area of customer relations.
advantage,noun,"With the dollar weakening, US exporters will be at an advantage."
advantage,noun,Have you taken full advantage of any tax-free savings plans?
advantage,noun,The bank thought e-commerce could work to its advantage because these markets tended to be highly protected by regulation.
advantage,noun,"She had some important contacts in the government, which she used to her advantage."
adventure,noun,They went on an adventure hunting for treasure in the western hills. 
adventure,noun,She had some exciting adventures in Peru.
advertise,verb,We advertised our car in the local newspaper.
advertise,verb,"There's no harm in applying for other jobs, but if I were you, I wouldn't advertise the fact at work."
advertise,verb,He advertises his business on the Internet.
advertise,verb,Car companies are major TV advertisers.
advertise,verb,Financial companies have changed the way they advertise.
advertise,verb,The company is advertising for a new commercial manager.
advertisement,noun,I saw an advertisement for the new restaurant that opened in town. 
advertisement,noun,She scanned the job advertisements in the paper.
advertisement,noun,I'm afraid I'm not a very good advertisement for the diet since I've actually put on weight!
advertisement,noun,I saw an advertisement for the job in yesterday’s paper.
advertisement,noun,Her first modelling job was in an advertisement for baked beans.
advertisement,noun,He spotted a job advertisement for a reporter on a current affairs TV program.
advertising,noun,Fiona works in advertising.
advertising,noun,an advertising campaign
advertising,noun,Understand how effective online advertising is and how different users react to different kinds of adverts.
advertising,noun,She works in advertising.
advertising,noun,They stopped using his image in their advertising after his arrest.
advice,noun,I need some advice on which computer to buy.
advice,noun,She gave me some good advice.
advice,noun,Some of them give really helpful advice about the job market.
advice,noun,The new owner was worried after receiving advice of sale from the vendor's lawyer.
advise,verb,I think I'd advise him to leave the company.
advise,verb,They were advised of their rights.
advise,verb,You would be well advised to have the appropriate vaccinations before you go abroad.
advise,verb,"Some employment lawyers have advised employers to dismiss staff now, before the limit for compensation is raised."
advise,verb,The court held that the defendants had failed to advise her of the risk.
affair,noun,"As a leader, he's been criticized for his inexperience in foreign affairs."
affair,noun,The arms-dealing affair has severely damaged the reputation of the government.
affair,noun,She discovered that her husband was having an extramarital affair.
affair,noun,The party turned out to be a quiet affair.
affair,noun,She wore a long black velvet affair.
affair,noun,The meeting was addressed by an expert in South American affairs.
affair,noun,Their wedding was a pretty boring affair.
affect,verb,Both buildings were badly affected by the fire.
affect,verb,To all his problems she affected indifference.
affect,verb,At university he affected an upper-class accent.
affect,noun,"He seems blank, without affect, his movements awkward and his eyes unfocused."
affect,verb,The disease only affects cattle.
affect,verb,Since joining the band he’s affected a ridiculous southern accent.
afford,verb,I don't know how he can afford a new car on his salary.
afford,verb,The hut afforded little protection from the elements.
afford,verb,I don’t know how he can afford a new car.
afford,verb,He is over 60 and can't afford his pension contributions.
afford,verb,We can afford to wait.
afraid,adjective,She was afraid for her children (= feared that they might be hurt).
afraid,adjective,"This is your room - it's rather small, I'm afraid."
afraid,adjective,"""Was she impressed with our work?"" ""I'm afraid not."""
afraid,adjective,"""Does this mean I've got to leave?"" ""I'm afraid so."" "
afraid,adjective,"She was afraid, but never thought of quitting."
afraid,adjective,"A lot of those stores will cheat you, I’m afraid."
after,preposition,Let's go for a walk after breakfast.
after,preposition,"After everything I've done for you, is this the way you treat me?"
after,preposition,"After what she did to me, I'll never trust her again."
after,preposition,The police are after him.
after,preposition,"""Can I pour you some coffee?"" ""Oh no, after you."""
after,preposition,a painting after Titian
after,preposition,He was named Mark after his grandfather.
after,adverb,Hilary got here at midday and Nick arrived soon after.
after,conjunction,"Three months after they moved out, the house was still empty."
after,prefix,an after-dinner speech
after,preposition,What do you want to do after breakfast?
after,preposition,"After what she did to me, I’ll never trust her again."
after,preposition,"Even after everything that’s happened here, his behavior seems odd."
after,preposition,The police are after him.
after,preposition,The house was empty for three months after they moved out.
after,preposition,Hilary drove up and Nick arrived soon after.
afternoon,noun,It was a sunny afternoon.
afternoon,exclamation,"Afternoon, Bob!"
afternoon,noun,She works three afternoons a week at the library.
afterwards,adverb,"We had tea, and afterwards we sat in the garden for a while."
again,adverb,"Could you spell your name again, please?"
again,adverb,We went to Edinburgh and back again all in one day.
again,adverb,You are reminded once again of the author's love of the sea.
again,adverb,He drove me back home last night. Never again!
again,adverb,I'm afraid it's been delayed yet again.
again,adverb,I've told you again and again not to do that.
again,adverb,It's already taken me two hours - I don't want to have to do it all over again.
again,adverb,They are paid half as much again as we are.
again,adverb,Could you spell your name again please?
against,preposition,She spoke against the decision to close the college.
against,preposition,I've nothing against him - I just don't have much in common with him.
against,preposition,Lack of experience will generally count against you in an interview.
against,preposition,Why don't we put the bed against the wall?
against,preposition,Paintings look best against a simple white wall.
against,preposition,The last part of the course was hard because I was running against the wind.
against,preposition,"We've insured the car against fire, theft, and accident."
against,preposition,"I know you’d like to get a more expensive car, but I’m against it."
against,preposition,He would have to run against O’Toole for county treasurer.
against,preposition,swimming against the current
against,preposition,Among the charges leveled against them were bribery and tax evasion.
against,preposition,It would save space if we put the bed against the wall.
age,noun,Do you know the age of that building?
age,noun,"Boys, act your age, please!"
age,noun,Each state's laws determine the age of consent.
age,noun,the Victorian age
age,noun,It takes ages to cook.
age,noun,Her back was bent with age.
age,verb,She's aged since the last time we met.
age,verb,The brandy is aged in oak for ten years.
age,suffix,blockage
age,suffix,bondage
age,suffix,orphanage
age,noun,At age 24 he won a starring role in his first movie.
age,noun,the modern/industrial/Victorian age
age,verb,She’s aged a lot since the last time we met.
age,verb,The cheese is aged for three to six months.
aged,adjective,"They've got one daughter, Isabel, aged three."
aged,adjective,She has two rather aged aunts.
aged,noun,The hospital was built to meet the needs of the aged.
aged,adjective,an aged man
aged,plural noun,The apartment was built to meet the needs of the aged.
agency,noun,an advertising/employment/estate/travel agency
agency,noun,an overseas aid agency
agency,noun,"The protest gave us a sense of agency, a sense of our own power to make a difference."
agency,noun,She was freed from prison through the agency of her doctor.
agency,noun,an advertising/employment agency
agency,noun,federal agencies
agency,noun,Background checks may be done in-house or by an outside agency.
agency,noun,"Scottish Natural Heritage, the conservation agency, has finally managed to get approval for the project."
agenda,noun,There were several important items on the agenda.
